標題,內容,來源網站,來源類型,主文,發佈時間,作者,原始連結
〈獨家〉尾牙好摳！愛送小家電包裝「抬身價」,"...管包裝精緻，但獎項「有等差」，從果汁機到氣炸鍋都有，企業想省錢禮品8成挑小家電，比較起來，如果獎品是大電視，乾脆不包裝只別上蝴蝶結，賣場業者指出，今年大部分企業如果是同樣預算，卻改買特價品，或其他便宜品牌，來求多樣品項。賣場業者林夢紹：「預算不多，但又要有很多獎項，我們通常會建議企業就是說，可能可以買像(特價)電視這類的，如果是幾百塊的獎項，我們也會把它包裝的很精美。」企業不只禮物要省，連表演費也縮水，五顏六色的雷射光從舞台上竄出，搭配樂團勁歌熱舞，但10分鐘前，場景布置到器材測試可都由樂團一手包辦，強調「多功能」搶尾牙場次。樂團團長：「大部份公司寧可加點菜、加點獎項，然後少一點節目。」

 ...",TVBS新聞 - 台灣生活,,TRUE,2012/12/28 下午 7:07:00,記者:吳亭儀 陳宣如 攝影:蕭明正 蔣紀威台北報導,http://www.tvbs.com.tw/news/news_list.asp?no=carlito1120121228190601
飛利浦氣炸鍋送登機箱(到2013年1月6日截止),...飛利浦氣炸鍋送登機箱 (到2013年1月6日截止)http//www.7net.com.tw/....../......,BabyHome 寶貝家庭親子網 - 生活情報,,TRUE,2012/12/28 下午 4:47:00,昏,http://www.babyhome.com.tw/mboard.php?op=d&bid=2&sID=4016652&page=1
[新聞] Selina房事有喜春節度蜜月開機,"...言，開心廠商要送她不用油就可以炸東西的「氣炸鍋」，過去她曾用電鍋做料理，但招認是嬌妻而非賢妻，不會整理東西，阿中常形容「家裡沒桌面」，她還理直氣壯：「我家不是髒，就是亂。」所以期待搬新家「有好的開始」。任爸、任媽前晚為西片《性福特訓班》特映會站台，片中探討夫妻因性事不美滿而引發婚姻危機，任爸則自認勇猛、「性」致高昂，35年的婚姻才得以保鮮，「只要身體養得好，婚姻生活自然好。」羞得任媽捱著他尷尬臉紅，抿著嘴直發笑。 2.新聞連結: http://tinyurl.com/bwtbwhv 3.備註:所以各位會怎麼幻想?不要噓喔--

 ※發信站:批踢踢實業坊(ptt.cc) ◆ From: 106.64...",Ptt - Gossiping,,TRUE,2012/12/28 下午 3:56:07,bidet,http://www.ptt.cc/bbs/Gossiping
Selina房事有喜春節度蜜月開機,...▲Selina為家電代言，最想要氣炸鍋。 （粘耿豪攝）她27日為家電品牌代言，開心廠商要送她不用油就可以炸東西的「氣炸鍋」，過去她曾用電鍋做料理，但招認是嬌妻而非賢妻，不會整理東西，阿中常形容「家裡沒桌面」，她還理直氣壯：「我家不是髒，就是亂。」所以期待搬新家「有好的開始」。 ...附件:你需要登錄才可以下載或查看附件。沒有帳號？註冊...,伊莉討論區 - 明星新聞追(影視娛樂),,TRUE,2012/12/28 下午 2:57:00,bc5255,http://www07.eyny.com/thread-8375548-1.html
Selina房事有喜春節度蜜月開機,...▲Selina為家電代言，最想要氣炸鍋。 （粘耿豪攝）她27日為家電品牌代言，開心廠商要送她不用油就可以炸東西的「氣炸鍋」，過去她曾用電鍋做料理，但招認是嬌妻而非賢妻，不會整理東西，阿中常形容「家裡沒桌面」，她還理直氣壯：「我家不是髒，就是亂。」所以期待搬新家「有好的開始」。任爸、任媽前晚為西片《性福特訓班》特映會站台，片中探討夫妻因性事不美滿而引發婚姻危機，任爸則自認勇猛、「性」致高昂，35年的婚姻才得以保鮮，「只要身體養得好，婚姻生活自然好。」羞得任媽捱著他尷尬臉紅，抿著嘴直發笑。...,yahoo新聞 - 影劇新聞,,TRUE,2012/12/28 上午 5:30:00,中時電子報,http://tw.news.yahoo.com/selina%E6%88%BF%E4%BA%8B%E6%9C%89%E5%96%9C-%E6%98%A5%E7%AF%80%E5%BA%A6%E8%9C%9C%E6%9C%88%E9%96%8B%E6%A9%9F-213000739.html
3C新品－全台最低價32吋LED電視8888元,...有業界最低價的32吋LED電視，以及油切氣炸鍋、旋風渦輪吸塵器、直流變頻電風扇等。歌林副總張鏡湖表示，歌林將以LED電視機與不滴水冷氣機為行銷重點產品，新推出32吋HD LED電視限量2000台優惠價8888元，這是國產著名品牌32吋LED電視首度跌破9000元，在200多家傳統家電通路銷售。同時也推出42吋智慧連網電視，售價2萬900元，買就送Wi-Fi接收器、隨身碟、不銹鋼鍋等贈品。隨後歌林還將推出39吋LED電視售價1萬4900元，明年5、6月將推出46吋、55吋LED電視，其中55吋機種也將以優惠價格吸引顧客。此外，不滴水冷氣機主打窗型，預計明年2月推出12個機種，以喚起大家對...,MSN新聞 - 財經新聞,,TRUE,2012/12/28 上午 3:26:00,中時電子報,http://news.msn.com.tw/./news2968672.aspx
Selina房事有喜春節度蜜月開機,...言，開心廠商要送她不用油就可以炸東西的「氣炸鍋」，過去她曾用電鍋做料理，但招認是嬌妻而非賢妻，不會整理東西，阿中常形容「家裡沒桌面」，她還理直氣壯：「我家不是髒，就是亂。」所以期待搬新家「有好的開始」。任爸、任媽前晚為西片《性福特訓班》特映會站台，片中探討夫妻因性事不美滿而引發婚姻危機，任爸則自認勇猛、「性」致高昂，35年的婚姻才得以保鮮，「只要身體養得好，婚姻生活自然好。」羞得任媽捱著他尷尬臉紅，抿著嘴直發笑。...,MSN新聞 - 娛樂新聞,,TRUE,2012/12/28 上午 3:26:00,中時電子報,http://news.msn.com.tw/./news2968800.aspx
Selina房事有喜春節度蜜月開機,...言，開心廠商要送她不用油就可以炸東西的「氣炸鍋」，過去她曾用電鍋做料理，但招認是嬌妻而非賢妻，不會整理東西，阿中常形容「家裡沒桌面」，她還理直氣壯：「我家不是髒，就是亂。」所以期待搬新家「有好的開始」。任爸、任媽前晚為西片《性福特訓班》特映會站台，片中探討夫妻因性事不美滿而引發婚姻危機，任爸則自認勇猛、「性」致高昂，35年的婚姻才得以保鮮，「只要身體養得好，婚姻生活自然好。」羞得任媽捱著他尷尬臉紅，抿著嘴直發笑。...,yam天空 - 娛樂新聞,,TRUE,2012/12/28 上午 2:22:00,中時電子報／吳禮強、黃嘉平╱台北報導,http://n.yam.com/chinatimes/entertain/20121228/20121228095686.html
Selina房事有喜春節度蜜月開機,...言，開心廠商要送她不用油就可以炸東西的「氣炸鍋」，過去她曾用電鍋做料理，但招認是嬌妻而非賢妻，不會整理東西，阿中常形容「家裡沒桌面」，她還理直氣壯：「我家不是髒，就是亂。」所以期待搬新家「有好的開始」。任爸、任媽前晚為西片《性福特訓班》特映會站台，片中探討夫妻因性事不美滿而引發婚姻危機，任爸則自認勇猛、「性」致高昂，35年的婚姻才得以保鮮，「只要身體養得好，婚姻生活自然好。」羞得任媽捱著他尷尬臉紅，抿著嘴直發笑。...,中時電子報 - 娛樂新聞,,TRUE,2012/12/28,吳禮強、黃嘉平╱台北報導,http://showbiz.chinatimes.com/showbiz/110511/112012122800038.html
3C新品－全台最低價32吋LED電視8888元,...有業界最低價的32吋LED電視，以及油切氣炸鍋、旋風渦輪吸塵器、直流變頻電風扇等。歌林副總張鏡湖表示，歌林將以LED電視機與不滴水冷氣機為行銷重點產品，新推出32吋HD LED電視限量2000台優惠價8888元，這是國產著名品牌32吋LED電視首度跌破9000元，在200多家傳統家電通路銷售。同時也推出42吋智慧連網電視，售價2萬900元，買就送Wi-Fi接收器、隨身碟、不鋼鍋等贈品。隨後歌林還將推出39吋LED電視售價1萬4900元，明年5、6月將推出46吋、55吋LED電視，其中55吋機種也將以優惠價格吸引顧客。此外，不滴水冷氣機主打窗型，預計明年2月推出12個機種，以喚起大家對...,中時電子報 - 生活新聞,,TRUE,2012/12/28,馮景青╱台北報導,http://life.chinatimes.com/life/11051801/112012122800065.html
國產家電新品32吋電視9千有找,"...就下殺至8888元，挑戰市場最低價；另有氣炸鍋等新品亮相，預計下月起上市；會場更展出多款歌林復古電視機，相當有品牌代表性。報導╱王心怡、周淑萍攝影╱高世安部分圖片╱業者提供歌林大動作重返國產家電市場，會中推出多款大小家電新品，圖中為油切氣炸鍋，容量2.1公升，售價4980元。 32吋HD LED電視解析度1366×768 售價1萬900元特價8888元限2000台42吋聯網Full HD LED電視KLT-42EP01 售價2萬900元通路價約為1萬8900元 1/1~2/8送不鏽鋼美食鍋12吋DC變頻遙控桌立扇KF-RDC12

 雙層扇葉設計變頻馬達號稱比傳統...",蘋果日報 - 科技總覽,,TRUE,2012/12/28,王心怡、周淑萍 攝影高世安 部分圖片業者提供,http://www.appledaily.com.tw/appledaily/article/newsupplement/20121228/34733849
kolin重返家電市場明年業績拼15億,...電視氣炸鍋打頭陣至於kolin在產品線的布局上，kolin副總經理張鏡湖進一步表示，除了42吋Full HD智慧聯網LED電視和32吋HD LED電視等大家電外，接下來將有數10款小家電產品陸續上市，包括最近在消費市場非常夯的油切氣炸鍋、首創直導式加熱設計省電18%的安康電鍋、不鏽鋼電鍋等小型家電，滿足新世代消費者的家電需求。 kolin小檔案★成立：1963年 ★重要歷史：2008年爆財務危機，股票下市進入重整2012年4月23日憶聲標得kolin中英文商標及品牌，取得瑞林科技100%持股 ★品牌：取得kolin及中文歌林商機，但因歌林部分資產仍在清算中，憶聲團隊暫時先使用英文koli...,蘋果日報 - 財經總覽,,TRUE,2012/12/28,蕭文康台北報導,http://www.appledaily.com.tw/appledaily/article/newfinance/20121228/34735103
3C新品－全台最低價32吋LED電視8888元,...有業界最低價的32吋LED電視，以及油切氣炸鍋、旋風渦輪吸塵器、直流變頻電風扇等。歌林副總張鏡湖表示，歌林將以LED電視機與不滴水冷氣機為行銷重點產品，新推出32吋HD LED電視限量2000台優惠價8888元，這是國產著名品牌32吋LED電視首度跌破9000元，在200多家傳統家電通路銷售。同時也推出42吋智慧連網電視，售價2萬900元，買就送Wi-Fi接收器、隨身碟、不銹鋼鍋等贈品。隨後歌林還將推出39吋LED電視售價1萬4900元，明年5、6月將推出46吋、55吋LED電視，其中55吋機種也將以優惠價格吸引顧客。此外，不滴水冷氣機主打窗型，預計明年2月推出12個機種，以喚起大家對...,Hinet - 財經新聞,,TRUE,2012/12/28,中國時報,http://times.hinet.net/news/10869979
老牌家電歌林Kolin品牌重生,...場，發表全新FullHD智慧聯網LED與氣炸鍋、吸塵器智能生活家電，並邀請Selina擔任產品代言人親身分享與kolin的成長過程和回憶。創立於1963年的國產消費家電品牌kolin，在今年由憶聲電子入主，結合旗下瑞林科技服務完善的家電售後服務和維修，將於2013年正式宣告以「不變的改變」的全新品牌精神重返市場，強調不變的溫暖與你我熟悉的情感，注入創新的技術與服務，繼續立足家電市場。...,聯合新聞網 - 財經產業,,TRUE,2012/12/27 下午 11:15:00,張義宮,http://udn.com/NEWS/BREAKINGNEWS/BREAKINGNEWS6/7595752.shtml
老牌家電歌林Kolin品牌重生,...場，發表全新FullHD智慧聯網LED與氣炸鍋、吸塵器智能生活家電，並邀請Selina擔任產品代言人親身分享與kolin的成長過程和回憶。創立於1963年的國產消費家電品牌kolin，在今年由憶聲電子入主，結合旗下瑞林科技服務完善的家電售後服務和維修，將於2013年正式宣告以「不變的改變」的全新品牌精神重返市場，強調不變的溫暖與你我熟悉的情感，注入創新的技術與服務，繼續立足家電市場。...,聯合新聞網 - 股市快訊,,TRUE,2012/12/27 下午 11:15:00,經濟日報╱記者張義宮╱即時報導,http://forum.udn.com/forum/NewsLetter/NewsPreview?NewsID=7595752
走過倒閉危機！歌林「重生」推媽祖鍋,...歌林老班底不認輸，重訂營運方向，陸續推出氣炸鍋，42吋液晶電視等等，想重登家電銷售寶座，能不能「浴火重生」，就看老主顧捧不捧場。...,MSN新聞 - 生活新聞,,TRUE,2012/12/27 下午 8:12:00,TVBS新聞,http://news.msn.com.tw/./news2968319.aspx
走過倒閉危機！歌林「重生」推媽祖鍋,...歌林老班底不認輸，重訂營運方向，陸續推出氣炸鍋，42吋液晶電視等等，想重登家電銷售寶座，能不能「浴火重生」，就看老主顧捧不捧場。...,TVBS新聞 - 台灣生活,,TRUE,2012/12/27 下午 8:06:00,記者:鍾佩瑜 張智鈞台北報導,http://www.tvbs.com.tw/news/news_list.asp?no=jimmyliu220121227200255
Selina為家電代言分享與kolin成長過程和回憶,...鍵就是要有好家電，像kolin全新的油切氣炸鍋和每個家裡都一定要有的安康電鍋，讓我可以很輕鬆端出美味又健康的美食!還有智慧聯網LED隨時都可以欣賞線上電影院，只能說kolin讓我升級成為智慧型新世代主婦。」...,yam天空 - 娛樂新聞,,TRUE,2012/12/27 下午 4:00:00,Wow!NEWS,http://n.yam.com/wownews/entertain/20121227/20121227094814.html
[食記]台北_love lovely美好生活古董行,"...。薯條炸得比較酥脆,不見什麼油(該不會是氣炸鍋做的),並灑上一些黑糊椒,還挺好吃。選擇義大利麵的話,會附上特製湯品和田園沙拉,小P點了蒜味白酒蛤蠣麵($270),我吃了一些,麵條還OK ,雖然清炒本來就沒那麼重口味,但整體還是稍嫌無味...湯品當天附的是南瓜湯,有別於我們之前吃過的南瓜濃湯,它有點像是將南瓜蒸熟後,打碎再去調理的,所以喝起來並不濃稠,但喝下可以感受到南瓜顆粒,嘴裡充滿南瓜香氣。小暴想試試他們的甜點,所以點了新英格蘭黑巧克力無比派($50),我嚐了一小塊...不過它和我想像得很不一樣...賣相實在不起眼,長得很像某種外面有在賣Choco

 Pie,不過用料自然是紮實得多,甜而不膩,...",Ptt - Food,,TRUE,2012/12/27 下午 12:02:50,standinghere,http://www.ptt.cc/bbs/Food/M.1356580974.A.748.html
Selina為家電代言分享與kolin成長過程和回憶,...鍵就是要有好家電，像kolin全新的油切氣炸鍋和每個家裡都一定要有的安康電鍋，讓我可以很輕鬆端出美味又健康的美食!還有智慧聯網LED隨時都可以欣賞線上電影院，只能說kolin讓我升級成為智慧型新世代主婦。」...,Hinet - 娛樂新聞,,TRUE,2012/12/27,Wow!NEWS,http://times.hinet.net/news/10864454
[新聞]國稅局：空氣炸鍋應課徵貨物稅,...1.完整新聞標題/內文:國稅局：空氣炸鍋應課徵貨物稅【聯合報╱記者林政忠／即時報導】 2012.12.25 06:20 pm頗受婆婆媽媽歡迎的「空氣炸鍋」到底是免徵貨物稅的電鍋類還是要課稅的烤箱類？財政部中區國稅局今天指出，依財政部11月20日函釋，「空氣炸鍋」核屬貨物稅條例「電烤箱範疇」，應課徵貨物稅。財政部表示，廠商產製或進口採電熱或微波烤炙之加熱原理，以烘烤食物為主要功能且具有封閉箱體的空氣炸鍋電器產品，該產品的加熱原理、產品主要功能等要件，皆與貨物稅條例電烤箱相同，核屬應稅貨物，應課徵15%貨物稅。國稅局表示，產製空氣炸鍋的廠商應依貨物稅條例第19條規定補辦廠商及產品登記，並於明年2月...,Ptt - Gossiping,,TRUE,2012/12/25 下午 11:24:35,osuki,http://www.ptt.cc/bbs/Gossiping
國稅局：空氣炸鍋應課徵貨物稅,...頗受婆婆媽媽歡迎的「空氣炸鍋」到底是免徵貨物稅的電鍋類還是要課稅的烤箱類？財政部中區國稅局今天指出，依財政部11月20日函釋，「空氣炸鍋」核屬貨物稅條例「電烤箱範疇」，應課徵貨物稅。財政部表示，廠商產製或進口採電熱或微波烤炙之加熱原理，以烘烤食物為主要功能且具有封閉箱體的空氣炸鍋電器產品，該產品的加熱原理、產品主要功能等要件，皆與貨物稅條例電烤箱相同，核屬應稅貨物，應課徵15%貨物稅。國稅局表示，產製空氣炸鍋的廠商應依貨物稅條例第19條規定補辦廠商及產品登記，並於明年2月28日前自動補報補繳應納稅款，可適用稅捐稽徵法免罰之規定。...,聯合新聞網 - 娛樂追星,,TRUE,2012/12/25 下午 6:20:00,林政忠,http://udn.com/NEWS/BREAKINGNEWS/BREAKINGNEWS9/7590241.shtml
[問題]康是美的小家電　何者CP值較高,...如題在換到了最想要的氣炸鍋後又得到了好多點數可以再換兩樣請問大家覺得電火鍋和電暖器何者CP值比較高想挑其中一樣加購可以給我一點意見嗎謝謝～ -- ※發信站:批踢踢實業坊(ptt.cc) ◆ From: 220.128.173.199 ※編輯: Rasiel來自: 220.128.173.229 (12/25 17:57)...,Ptt - Lifeismoney,,TRUE,2012/12/25 下午 5:55:57,Rasiel,http://www.ptt.cc/bbs/Lifeismoney/M.1356429359.A.14E.html
好神奇！空氣居然也可以幫助健康？,...在生活中出現由空氣結合熱能原理創造出的「氣炸鍋」，不像傳統的食物需要倒入許多油，只要透過高溫熱空氣對流讓食物受熱能更均勻，甚至仿造出油炸物酥脆的口感，顛覆所有人「油炸食物一定需用油」的觀念，同時也能降低油炸對健康的危害，在講求健康的現代，這是一項令人眼睛為之一亮的科技創新。同樣以空氣結合科技的產品，目前也開始陸續出現在生活中，對此，中原大學工業與系統工程學系副教授周永燦說明，如此以空氣結合科技的實體物品，目的就是希望能夠朝向促進人類健康福祉、確保安全、舒適、健康及增進生活品質的「人因科技」概念，像是利用空氣結合微爆噴水技術的牙線機，便替代民眾使用牙線清潔的習慣，甚至還能更加有效改善因牙齦清...,MSN新聞 - 健康新聞,,TRUE,2012/12/25 上午 8:35:00,優活健康資訊網,http://news.msn.com.tw/./news2964188.aspx
好神奇！空氣居然也可以幫助健康？,...在生活中出現由空氣結合熱能原理創造出的「氣炸鍋」，不像傳統的食物需要倒入許多油，只要透過高溫熱空氣對流讓食物受熱能更均勻，甚至仿造出油炸物酥脆的口感，顛覆所有人「油炸食物一定需用油」的觀念，同時也能降低油炸對健康的危害，在講求健康的現代，這是一項令人眼睛為之一亮的科技創新。同樣以空氣結合科技的產品，目前也開始陸續出現在生活中，對此，中原大學工業與系統工程學系副教授周永燦說明，如此以空氣結合科技的實體物品，目的就是希望能夠朝向促進人類健康福祉、確保安全、舒適、健康及增進生活品質的「人因科技」概念，像是利用空氣結合微爆噴水技術的牙線機，便替代民眾使用牙線清潔的習慣，甚至還能更加有效改善因牙齦清...,yam天空 - 健康新聞,,TRUE,2012/12/25 上午 8:29:00,優活健康資訊網／uho新聞部,http://n.yam.com/uho/healthy/20121225/20121225086171.html
好神奇！空氣居然也可以幫助健康？,...在生活中出現由空氣結合熱能原理創造出的「氣炸鍋」，不像傳統的食物需要倒入許多油，只要透過高溫熱空氣對流讓食物受熱能更均勻，甚至仿造出油炸物酥脆的口感，顛覆所有人「油炸食物一定需用油」的觀念，同時也能降低油炸對健康的危害，在講求健康的現代，這是一項令人眼睛為之一亮的科技創新。同樣以空氣結合科技的產品，目前也開始陸續出現在生活中，對此，中原大學工業與系統工程學系副教授周永燦說明，如此以空氣結合科技的實體物品，目的就是希望能夠朝向促進人類健康福祉、確保安全、舒適、健康及增進生活品質的「人因科技」概念，像是利用空氣結合微爆噴水技術的牙線機，便替代民眾使用牙線清潔的習慣，甚至還能更加有效改善因牙齦清...,yahoo新聞 - 健康新聞,,TRUE,2012/12/25 上午 8:29:00,優活健康網,http://tw.news.yahoo.com/%E5%A5%BD%E7%A5%9E%E5%A5%87-%E7%A9%BA%E6%B0%A3%E5%B1%85%E7%84%B6%E4%B9%9F%E5%8F%AF%E4%BB%A5%E5%B9%AB%E5%8A%A9%E5%81%A5%E5%BA%B7-002900849.html
[討論]很怕會爆炸,"...,我也是很怕它會爆炸但後來拍賣掉了,改買氣炸鍋氣炸鍋在運作時我也很怕它會爆炸每次使用以上這些電器時,總是離它很遠可是對於烤箱,電鍋，電磁爐等等傳統的電器就不會有這種感覺難道是因為我無法接受新型的電器嗎告訴我一個微波爐和氣炸鍋是不會爆炸的安心理由吧可是之前有聽過微波爐爆炸的新聞@@ --好康與中獎記錄分享: http://generally.pixnet.net/blog -- ※發信站:批踢踢實業坊(ptt.cc) ◆ From: 111.250.155.10...",Ptt - WomenTalk,,TRUE,2012/12/24 下午 9:20:34,generally,http://www.ptt.cc/bbs/WomenTalk/M.1356355237.A.DFA.html
桃園百貨服飾6折起還有工藝展,...特別禮，消費1千元就可參加機車、按摩機、氣炸鍋抽獎，全館滿5千元以上，送餐飲贈券。...,聯合新聞網_子類群 - 折扣好康(消費資訊),,TRUE,2012/12/24 上午 3:59:00,聯合報╱記者賈寶楠╱桃園報導,http://forum.udn.com/forum/NewsLetter/NewsPreview?NewsID=7586319
